des of
moulin moulin
moulin windmill
moulin mill
mayotte mayotte
rendu rendered
rendu render
rendu rendering
rendu rendu
musicien musician
champagne champagne
league league
disparu vanished
disparu disappeared
disparu faded
disparu missing
biens property
biens goods
rouges reds
rouges rouges
rouges red
ouverte open
choisi chose
choisi chosen
valeurs values
accueil home
tar tar
productions productions
big big
montagnes mountains
montagnes mountain
louise louise
supprimer remove
supprimer delete
aventure adventure
harry harry
claire clare
claire claire
religieuse religious
carlos carlos
guide guide
anna anna
adjoint deputy
adjoint assistant
steve steve
initialement initially
initialement originally
actif active
actif assets
actif asset
installe installs
installe install
fonctionnement operation
fonctionnement functioning
rennes rennes
rennes reindeer
exception exceptions
exception exception
populations populations
populations population
contributions contributions
venise venice
zonage zoning
civil civil
civil civilian
tunisie tunisia
tunisie tunisie
lancer lancer
lancer pitch
lancer launch
tiers third
commande command
commande order
quelle what
tony tony
standard switchboard
standard standard
introduction introduction
introduction intro
porter porter
approche approach
consiste consists
reconnaissance recon
reconnaissance reconnaissance
reconnaissance recognition
reconnaissance acknowledgement
metal metal
boston boston
effectue performs
eric eric
provinces provinces
pose poses
pose pose
pose posing
orange orange
adam adam
fleurs flowers
fleurs flower
matin morning
missions missions
flotte fleet
dessins designs
dessins drawings
monsieur sir
monsieur mister
monsieur mr
chefs chiefs
chefs chefs
amateurs amateurs
amateurs amateur
turquie turkey
localisation localisation
localisation location
localisation localization
gagne wins
officiers officers
origines origin
origines origins
nef nave
nef nef
marquis marquess
marquis marquis
pouvoirs powers
commercial commercial
bat bat
bat beats
victimes casualties
victimes victims
mille thousand
mille mille
direct direct
dames ladies
dames checkers
couronne wreath
couronne crown
attaquant attacker
attaquant attacking
attaquant striker
mini mini
appareil device
appareil camera
appareil appliance
appareil apparatus
commons commons
outils tools
complet full
complet complete
florence florence
finlande finland
paroles lyrics
aspect appearance
aspect aspect
sinon otherwise
rares rare
comportement behaviour
comportement behavior
contributeur contributor
humain human
info info
texas texas
russes russian
russes russians
pascal pascal
maillot maillot
maillot jersey
dispute quarrel
dispute argument
dispute dispute
lune moon
vois see
orbite orbit
championne champ
championne champion
interieur inside
interieur interior
extension expansion
extension extension
amiral admiral
murs walls
francs francs
francs franc
francs franks
modifications modifications
modifications changes
modifications edits
corse corsican
corse corsica
mario mario
prises taken
prises catches
initiative initiative
autonome autonomous
autonome standalone
cup cup
marguerite margaret
marguerite margarita
marguerite marguerite
marguerite daisy
brown brown
solo solo
montpellier montpellier
morte morte
morte died
morte dead
serge sergei
serge serge
rouen rouen
profondeur depth
partage share
partage shares
partage sharing
apprend learns
changer changing
changer change
croissance growth
interne internally
interne intern
interne internal
portugais portuguese
stations stations
peux can
profil profile
refuse refuses
hans hans
maximum max
maximum maximum
cabinet cabinet
toi you
thierry robert
thierry thierry
avais had
voyageurs passengers
voyageurs travelers
voyageurs travellers
demeure remains
sculpteur sculptor
alexander alexander
vision vision
miss miss
metz metz
associations associations
grade grade
grade rank
sam sam
contenant containing
modifier edit
modifier modify
modifier change
poursuit continues
poursuit pursues
dehors outside
dehors out
servir serving
servir serve
baisse decline
baisse decrease
pacifique pacifique
pacifique pacific
pacifique peaceful
madame madam
madame lady
madame madame
grecque greek
agricole agricultural
œil eye
cyclisme cycling
fabrication manufacture
fabrication manufacturing
fabrication fabrication
karl karl
chevaux horses
chevaux horse
partis gone
climat climate
climat weather
instrument instrument
respectivement respectively
automne autumn
automne fall
secondaire secondary
trains trains
grenoble grenoble
animal pet
animal animal
roumanie romania
victime casualty
victime victim
semi semi
reconnu recognised
reconnu acknowledged
reconnu recognized
rues streets
rues street
garonne garonne
papier paper
gray gray
emmanuel emmanuel
plante plant
plante plante
repris resumed
repris recaptured
boulevard boulevard
interdit forbidden
interdit prohibited
interdit banned
entier integer
entier whole
angle angle
contemporain contemporain
contemporain contemporary
preuve evidence
preuve proof
barrage roadblock
barrage dam
anvers antwerp
anvers anvers
giovanni giovanni
courses races
courses racing
sable sand
sable sandy
toronto toronto
courte short
domicile home
domicile domicile
aime love
aime like
aime loves
aime likes
routes roads
routes routes
routes highways
orientale orientale
orientale east
orientale oriental
orientale eastern
impose imposes
programmes programs
flore flora
budget budget
noblesse noble
noblesse noblesse
noblesse gentry
noblesse nobility
policier cop
policier police
policier policeman
toile canvas
secondaires secondary
chercher search
classification classification
quartiers neighborhoods
quartiers districts
quartiers neighbourhoods
chacune each
liaison liaison
principes principles
disparition vanishing
disparition disappearance
disparition disappearing
bistro bistro
limitrophes bordering
serveur waiter
serveur servers
serveur server
hausse rising
oise oise
signature signing
signature signature
carl carl
produire produce
profit profit
chien dog
chien dogs
tenu held
urss ussr
correspondant correspondent
correspondant corresponding
correspondant matching
nul null
nul nul
traverse traverse
bandeau headband
bandeau blindfold
nationaux national
nationaux nationals
secondes seconds
studios studios
ruisseau creek
ruisseau stream
ruisseau brook
ruisseau ruisseau
roche roche
publiques public
connus known
largeur width
largeur breadth
remplacer replacing
remplacer replace
org org
foi faith
professionnels professionals
professionnels professional
munich munich
institutions institutions
voici here
vii vii
volumes volumes
nation nation
accueille welcomes
notion notion
symbole symbol
alger algiers
alger alger
catalogue catalogue
catalogue catalog
prisonniers prisoners
francophone francophone
tir shooting
tir shot
tir tir
puits shafts
puits well
puits wells
salles rooms
emplacement location
unies united
philosophe philosopher
appellation appellation
appellation designation
facilement easily
souhaite wish
souhaite wishes
end end
coups punches
coups shots
coups coups
coups blows
johnson johnson
hongrois hungarians
hongrois hungarian
rois kings
modification modification
modification amendment
mineures minors
mineures minor
pieds feet
pieds foot
pieds pieds
bel bel
engage hires
vaste wide
vaste vast
relais relais
relais relays
relais relay
roy roy
exemples examples
nomme appoints
marins sailors
marins seafarers
marins seamen
marins marine
tendance trend
tendance trendy
tendance trending
tendance tendency
orientation orientation
xxx xxx
congo congo
street street
ennemi enemy
ennemi foe
moselle moselle
multiples multiple
multiples multiples
retourne returns
indien indian
indien indien
comptes accounts
calendrier calendar
calendrier schedule
clocher belfry
clocher steeple
avenir future
cavalerie cavalry
cavalerie cavalerie
concerts concerts
organise organizes
organise organises
jim jim
industriel industrial
rester staying
rester remain
rester stay
consommation consumption
mauvais bad
brian brian
condition condition
utilisateurs users
plaine plaine
plaine plain
plaine lowland
plaine plains
perte loss
aires aires
impact impact
candidats candidates
candidats candidate
candidats applicants
victoria victoria
classes classes
attaques attacks
quitter leave
quitter quit
quitter exit
quitter leaving
performance performance
oscar oscar
romains romans
romains roman
compose compose
collectif collective
conseillers advisers
conseillers advisors
conseillers consultants
versailles versailles
anniversaire birthday
anniversaire anniversary
conservateur curator
conservateur preservative
conservateur conservative
niveaux levels
alex xander
alex alex
capable able
capable capable
estime esteem
internationaux international
effectivement indeed
couverture blanket
couverture cover
couverture coverage
cuisine cuisine
cuisine cooking
cuisine kitchen
arbres tree
arbres trees
disposition provision
disposition layout
disposition disposition
racing racing
conservatoire conservatory
conservatoire conservatoire
humains humans
humains human
donnant giving
ray ray
milliards billion
milliards billions
pos pos
bertrand bertrand
blues blues
modernes modern
xxie xxi
entrer enter
prit took
hameau hamlet
hauts highs
tentative attempt
tentative attempted
progressivement gradually
progressivement progressively
dragon dragon
canons cannon
canons guns
canons canons
canons cannons
vandalisme vandalism
religieuses religious
religieuses nuns
penser thinking
penser think
tableaux tables
tableaux paintings
personnelle personal
affirme asserts
affirme affirms
vaisseau vaisseau
vaisseau spacecraft
vaisseau starship
vaisseau vessel
vaisseau ship
vaisseau spaceship
autrefois formerly
cher dear
cher cher
inscription inscription
inscription registration
luis luis
isabelle isabel
isabelle isobel
isabelle isabella
isabelle isabelle
confiance confidence
confiance trust
confiance trusted
polonaise polish
polonaise polonaise
aix aix
aventures adventures
aventures adventure
instruments instruments
conserve preserves
finances finance
finances finances
galles wales
onze onze
onze eleven
moteurs motors
moteurs engines
pratiques practice
pratiques practices
charente charente
pleine full
noirs blacks
noirs black
dimensions dimensions
quart quarter
pertes loss
pertes losses
pertes casualties
ajoute add
ajoute adds
laval laval
ontario ontario
document document
augmentation increase
augmentation increased
limites limitations
limites limits
limites boundaries
limites limit
qualification qualifying
qualification qualification
ernest ernest
oncle uncle
voitures cars
voitures car
contemporaine contemporary
jackson jackson
blancs whites
blancs white
best best
plage beach
plage beaches
drame drama
drame tragedy
entretien maintenance
entretien interview
vide void
vide vacuum
vide blank
vide empty
musiciens musicians
accepte accepts
accepte accept
saints saints
revenir return
revenir back
handball handball
benjamin benjamin
chiffre digit
chiffre chiffre
chiffre figure
reims reims
windows windows
canon cannon
canon barrel
canon canon
canon hottie
collections collections
anthony anthony
active active
initiale initial
ali ali
sculpture sculpture
chance chance
chance luck
attendre waiting
attendre wait
destruction destruction
samuel samuel
dir dir
avignon avignon
amsterdam amsterdam
sophie sophie
auvergne auvergne
enregistrement recording
enregistrement registration
davis davis
quotidien everyday
quotidien daily
leader leader
trafic traffic
trafic trafficking
auto auto
peau peau
peau skin
ferdinand ferdinand
duo duet
duo duo
espaces spaces
impossible impossible
ukraine ukraine
maine maine
vieille oldie
vieille old
vieille vieille
incendie fire
acide acid
gilbert gilbert
poule chicken
poule poule
poule hen
succession succession
kevin kevin
technologie technology
kim kim
madeleine madeleine
madeleine magdalene
utile useful
utile helpful
saut jump
saut skip
saut leap
saut jumping
enceinte pregnant
enceinte enclosure
conservation conservation
conservation preservation
pouvez can
hugo hugo
sortir exit
sortir out
centres centers
centres centres
affluent tributary
ministres ministers
stephen stephen
sociaux social
clairement clearly
urbain urban
urbain urbain
xiii xiii
clermont clermont
essentiel essential
essentiel essentials
assure ensures
laboratoire laboratory
laboratoire lab
distingue distinguishes
primaire elementary
primaire primary
wiki wiki
tuer slay
tuer killing
tuer kill
logique logical
logique logic
xavier xavier
orgue organ
bulletin newsletter
bulletin bulletin
impression print
impression impression
impression printing
quasi almost
quasi quasi
visible visible
habitat habitat
breton breton
souris mice
souris mouse
photographe photographer
autoroute motorway
autoroute autoroute
autoroute highway
ponts bridges
taylor taylor
quinze fifteen
quinze quinze
assistant assistant
assistant wizard
satellite satellite
samedi saturday
alan alan
chili chili
chili chile
moindre lesser
carlo carlo
gallimard gallimard
alice alice
las las
saxe saxe
saxe sachsen
saxe saxony
comprenant including
distinctions honours
distinctions distinction
distinctions awards
distinctions distinctions
remarque note
remarque remark
remarque notice
gares stations
installation installation
installation installing
rapports reporting
rapports reports
circulation traffic
circulation circulation
australien aussie
australien australian
chinoise chinese
tournage filming
tournage shooting
relief relief
pierres stones
pierres stone
pierres rocks
patronyme surname
universitaires academics
universitaires academic
histoires histoires
histoires stories
faites do
faites make
phrase phrase
phrase sentence
lancement launching
lancement launch
patron patron
patron boss
structures structures
culturelle cultural
aviation aviation
journaux newspapers
syndicat union
syndicat syndicate
lewis lewis
menace threatening
menace menace
menace threats
menace threat
crois believe
poursuite prosecution
poursuite pursuit
basque basque
mans mans
lot batch
lot lot
commissaire commissioner
commissaire commissaire
commissaire commissar
manifestations demonstrations
arabes arab
arabes arabic
arabes arabian
arabes arabs
conserver preserve
conserver retain
conserver keep
reprendre resume
manga manga
conseils tips
conseils advice
latine latin
latine latina
bases basics
bases bases
industrielle industrial
andrew andrew
peintures paints
peintures painting
peintures paintings
invasion invasion
adversaire adversary
adversaire opponent
conduite driving
individus individuals
franchise franchise
franchise deductible
iran iran
conscience conscience
conscience awareness
conscience consciousness
expositions exposures
expositions exhibitions
expositions exhibits
expositions exhibition
rappelle recalls
naples naples
naples napoli
lion lion
peur afraid
peur scared
peur fear
actives active
prague prague
administratif administrative
lausanne lausanne
peuples peoples
nomination nomination
nomination appointment
crime felony
crime crime
respect respect
respect compliance
mobile mobile
chiffres figures
chiffres numbers
raconte tells
sœurs sisters
vendredi friday
commentaire comment
commentaire commentary
della della
irlandais irish
catholiques catholic
catholiques catholics
apparaissent appear
rare rare
rare uncommon
transfert transfer
transfert transfers
aile wing
aile aile
dimension dimensions
dimension dimension
juive jewish
juive juive
var var
lit bed
floride florida
fera will
servi served
seuil threshold
milliers thousand
milliers thousands
dirigeant ruler
loup loup
loup wolf
chronologie chronology
chronologie timeline
classiques classics
classiques classical
classiques classic
minimum minimum
minimum minimal
bibliographie bibliography
grave serious
grave severe
grave grave
lord lord
tourne turn
tourne spin
faute fault
faute foul
faute misconduct
brunswick brunswick
million million
extrait excerpt
extrait extracted
extrait extract
contribution contribution
hill hill
directe direct
gris gray
gris grey
aquitaine aquitaine
barbara barbara
euro eurozone
euro euros
euro euro
disponibles available
danger hazard
danger danger
wilson wilson
plate platform
similaire similar
cordes string
cordes ropes
cordes cordes
cordes strings
golden golden
dan dan
risques hazards
risques risks
risques risk
confluence confluence
charlotte charlotte
jury jury
anglo anglo
monnaie money
monnaie currency
enseigne ensign
franc franc
didier didier
mac mac
ascension ascension
ascension ascent
vendu sold
dirigeants rulers
dirigeants managers
dirigeants leaders
dirigeants executives
ford ford
jane jane
observatoire observatory
ailes ailes
ailes wings
ailes wing
machines machinery
machines machines
julie julie
institution institution
donna donna
caen caen
organisations organizations
organisations organisations
varsovie warsaw
compter count
compter counting
normale normal
pilotes drivers
pilotes pilots
pilotes pilot
rowspan rowspan
colonie colony
besoins need
besoins needs
genres genre
genres genres
genres genera
bref brief
tenir hold
cannes cannes
neige snow
postes posts
discussions discussions
discussions chats
discussions discussion
installer installing
installer install
discipline discipline
paysage scenery
paysage landscape
poissons pisces
poissons fish
poissons fishes
couvent couvent
couvent convent
violence violence
bains baths
bains bath
espoirs espoirs
espoirs hopes
espoirs hope
comics comics
africain africain
africain african
bandes bands
bandes strips
bandes tapes
cellules cell
cellules cells
fosse trench
fosse pit
fosse fosse
costumes suits
costumes costumes
johnny johnny
espoir hope
actuels current
jardins gardens
jardins garden
angers angers
colonne column
populaires popular
populaires trending
effectuer perform
monaco monaco
mises bets
mises mises
gagner earn
gagner win
gagner winning
gagner earning
dijon dijon
affiche poster
affiche display
outil tool
orientales oriental
mauvaise bad
inventaire inventory
seigneurs lords
violon violin
violon violon
traditionnelle traditional
remplacement replace
remplacement replacement
islam islam
battu beat
battu beaten
battu defeated
envoie sends
envoie send
traces traces
traces trace
war war
expliquer explaining
expliquer explain
environs surroundings
environs vicinity
juridique legal
coalition coalition
fox fox
municipale municipal
inspecteur detective
inspecteur inspector
due due
marais swamp
marais marais
marais marsh
marais marshes
moines moines
moines monks
kong kong
chimie chemicals
chimie chemistry
prenant taking
poisson pisces
poisson fish
poisson poisson
inter inter
fruits fruit
fruits fruits
passion passion
soi soi
soi itself
chercheurs researchers
secours relief
secours rescue
chat chat
chat cat
johann johann
tirs shooting
sarah sarah
retrait shrinkage
retrait withdrawal
archipel archipelago
compagnies companies
gothique goth
gothique gothic
bloc bloc
bloc block
visiteurs visitors
clan clan
capital capital
surnom nickname
express express
veux veux
veux want
anciennement formerly
visant aiming
mit mit
mit mlt
facile easy
davantage more
changements changes
changements change
fred fred
oxford oxford
croatie croatia
ange ange
ange angel
chasseurs hunters
chasseurs chasseurs
gaston gaston
robin robin
opinion opinion
agricoles agricultural
bonnes good
classements rankings
classements standings
classements classifications
xiv xiv
conflits conflicts
conflits disputes
conflits conflict
transformation processing
transformation transformation
transformation transform
remplace replaces
remplace replace
cultures crops
cultures cultures
lundi mondays
lundi monday
viii viii
andrea andrea
accessible accessible
virginie virginie
virginie virginia
avantage benefit
avantage advantage
monts mountains
monts monts
deviennent become
appui support
partout anywhere
partout everywhere
objectifs objectives
objectifs goals
objectifs aims
ann ann
mine mine
costa costa
alphonse alphonse
alphonse alfonso
acquis acquired
lucien lucien
disques discs
disques disks
sydney sydney
introduit introduced
introduit introduces
nba nba
howard howard
charlie charlie
communautaire community
guitariste guitarist
maires mayors
maires mayor
elizabeth elizabeth
recevoir receive
recevoir receiving
performances performance
performances performances
autrichien austrian
brest brest
pianiste pianist
friedrich friedrich
armand armand
produite produced
doctorat doctorate
doctorat doctoral
doctorat phd
centaines hundreds
vestiges relics
vestiges vestiges
calcul calculus
calcul calculation
calcul computation
mathieu matthew
mathieu mathieu
camille camille
aspects aspects
simples simple
simples singles
plaque plate
plaque plaque
fondateurs founders
ffffff ffffff
nez nez
nez nose
nez noses
quai wharf
quai quay
quai dock
quai platform
meurtre murder
barre helm
barre bar
barre barre
meilleures better
meilleures best
vigueur vigor
vigueur vigour
minute minute
applications applications
applications apps
verre glass
verre drink
abandon abandon
abandon abandonment
queue queue
queue cock
queue tail
queue tails
ivoire ivory
hong hong
ivan ivan
partisans partisans
partisans supporters
design design
pistes slopes
pistes tracks
jonathan jonathan
tenue outfit
jacob jacob
mythologie mythology
belgrade belgrade
revenu revenue
revenu income
gamme range
basilique basilica
dessinateur drawer
dessinateur designer
dessinateur cartoonist
jimmy jimmy
regard gaze
rallye rally
rallye rallye
valence valencia
valence valence
colspan colspan
dossier dossier
dossier folder
dossier file
diego diego
maladies diseases
maladies disease
oiseau oiseau
oiseau bird
ump ump
maximale maximum
verte verte
verte green
citer quote
citer cite
constructeur builder
constructeur constructor
constructeur manufacturer
francesco francesco
campagnes campaigns
compilation compile
compilation compilation
compilation compiling
connaissances acquaintances
connaissances knowledge
terrestre terrestrial
terrestre earthly
budapest budapest
noble noble
ambassadeur ambassador
inverse inverse
inverse reverse
possession possession
souvenir souvenir
souvenir memento
souvenir memory
forteresse stronghold
forteresse fortress
ennemis enemy
ennemis enemies
sections sections
viens come
positions positions
engagement engagement
engagement commitment
languedoc languedoc
inscrits registered
inscrits enrolled
quarante forty
hectares hectares
hectares acres
golfe gulf
seigneurie lordship
italiens italians
italiens italian
navy navy
commandeur commandeur
commandeur commander
douglas douglas
listes list
listes lists
boy boy
arbitrage arbitration
lecteur player
lecteur drive
lecteur reader
idem idem
idem ditto
remise discount
remise rebate
tire shoot
tire shoots
hop hop
christopher christopher
maintenir maintain
maintenir maintaining
maintenir keep
anderson anderson
christine christine
morceaux pieces
morceaux tracks
majeures majors
venus venus
miller miller
exil exile
cambridge cambridge
construits built
construits constructed
fixe fixed
fixe landline
sncf sncf
ventes sales
relative relative
instruction instruction
cancer cancer
remis surrendered
donald donald
agents agents
observation observation
dure harsh
dure hard
dure lasts
scrutin poll
scrutin ballot
sortant outgoing
sortant outbound
sortant exiting
vins wine
vins wines
out out
forum forum
lanceur launcher
lanceur pitcher
administrativement administratively
solaire solar
alimentation food
alimentation nutrition
neutre neutral
orthodoxe orthodox
citoyens citizens
vladimir vladimir
stadium stadium
ouvriers workers
pseudonyme alias
pseudonyme nickname
pseudonyme pseudonym
manuscrit manuscript
manuscrit scroll
colline hill
colline colline
who who
divisions divisions
gustave gustav
gustave gustave
longues long
continent continent
naturelles natural
ruines ruins
technologies technologies
technologies technology
fais do
fais fais
existent exist
picardie picardie
picardie picardy
porto porto
bourbon bourbon
franz franz
ombre shadows
ombre shade
ombre shadow
ombre ombre
maritimes maritimes
maritimes maritime
cousin cousin
cousin cuz
vapeur steam
vapeur vapour
interview interview
bay bay
colonnes column
colonnes columns
choisit chose
choisit chooses
choisit selects
stanley stanley
muet silent
muet mute
historiens historians
couvre covers
western western
proposer propose
proposer proposing
proposer suggest
transmission transmission
soldat soldier
veille standby
canadiens canadian
canadiens canadians
jersey jersey
option option
pluie rain
commentaires feedback
commentaires comments
fpu fpu
turin torino
turin turin
poitou poitou
touche touche
touche key
touche touch
automatique auto
automatique automatic
neveu nephew
neveu neveu
mohamed mohamed
hubert hubert
commerciale commercial
cinquante fifty
souverain ruler
souverain sovereign
chronique chronicle
chronique column
chronique chronic
charte charter
imposer imposing
imposer impose
imposer imposition
renault renault
frais fresh
frais fees
frais expenses
traite milking
traite trafficking
bac bac
judiciaire judicial
judiciaire judiciary
palette pallet
palette palette
tramway tram
tramway trams
tramway tramway
peintres painters
amiens amiens
louvre louvre
troubles disorders
troubles troubles
troubles unrest
marco marco
offensive offensive
amie friend
alias alias
alias aka
alias aliases
concentration concentration
intention intention
intention intent
nombres numbers
passagers passengers
passagers passenger
puissant powerful
espagnols spaniards
espagnols spanish
correspondance correspondence
correspondance matching
correspondance match
hamilton hamilton
partiellement partly
partiellement partial
partiellement partially
tim tim
organismes organizations
organismes organisms
organismes agencies
sauver save
sauver saving
juniors juniors
juniors junior
visage facial
visage face
possibles possible
provoque provokes
future future
danois danish
danois dane
danois danes
montrer show
philadelphie philly
philadelphie philadelphia
prononciation pronunciation
aube aube
aube dawn
logements accommodation
meuse meuse
billy billy
suffisamment sufficiently
suffisamment enough
suffisamment sufficient
poser pose
poser posing
traditionnel traditional
lacs lakes
musulmans muslim
musulmans muslims
ain ain
autorisation authorisation
autorisation authorization
autorisation permission
sexe gender
sexe sex
installations facilities
installations installations
andy andy
travailleurs workers
norme norm
norme standard
appareils cameras
appareils appliances
appareils devices
gordon gordon
ordinateur computer
graphique graph
graphique graphic
graphique chart
graphique graphics
repose rests
repose rest
ligues leagues
nick nick
surprise surprise
surprise surprised
juif jew
juif jewish
juif juif
efficace efficient
efficace effective
bulgarie bulgaria
grecs greeks
grecs greek
perdre losing
perdre lose
puy puy
contes tales
contes contes
longs long
votes votes
tibet tibet
spectateurs spectators
spectateurs viewers
versant versant
relie connects
parfaitement perfectly
favorable favourable
favorable favorable
baroque baroque
secteurs sectors
pavillon pavillon
pavillon flag
pavillon pavilion
will will
tournois tournaments
tournois tournament
retirer withdraw
retirer remove
ateliers workshop
ateliers workshops
distinction distinction
xviiie eighteenth
den den
four furnace
four kiln
four oven
garder keep
venezuela venezuela
triple triple
eure eure
autel altar
autel shrine
manoir mansion
manoir manoir
continuer continue
continuer continuing
fournir provide
efforts efforts
roussillon roussillon
vacances holidays
vacances holiday
treize thirteen
exclusivement exclusively
plat dish
plat flat
azur azure
azur azur
reconstruction rebuilding
reconstruction reconstruction
columbia columbia
bons good
bons vouchers
choisir choosing
choisir choose
choisir select
administrateurs directors
administrateurs administrators
administrateurs admins
administrateurs trustees
rarement seldom
rarement rarely
reliant connecting
reliant reliant
reliant linking
global global
bruce bruce
consensus consensus
troupe troupe
troupe troop
sauvage wild
sauvage savage
sauvage wilderness
clip clip
optique optical
optique optics
optique optic
fantastique fantastic
occidental occidental
occidental western
navigation navigating
navigation navigation
augmenter increase
instant moment
instant instant
pourraient could
voyages travel
voyages travels
phare lighthouse
phare phare
surveillance monitoring
surveillance supervision
surveillance surveillance
initial initial
francophones francophone
francophones francophones
revenus revenues
revenus revenue
revenus income
musiques musics
musiques music
naturels natural
ibn ibn
nam nam
enseignant teacher
enseignant teachers
signes signs
bourse scholarship
territoriale territorial
pedro pedro
exactement exactly
exactement exact
hollywood hollywood
tunis tunis
presses presses
prusse prussia
prusse prussian
laura laura
augustin augustine
augustin augustin
peint painted
froid cold
froid chill
not not
syrie syria
flandre flandre
flandre flanders
villeneuve villeneuve
alexis alexis
lublin lublin
playstation playstation
ronde round
allen allen
colonies colonies
responsables responsible
riches rich
riches wealthy
academy academy
apparence appearance
couche layer
couche diaper
fortune fortunes
fortune fortune
line line
animateur moderator
animateur animator
master master
autonomie autonomy
autonomie autonomous
expansion expanding
expansion expansion
dizaine dozen
particuliers individuals
partielle partial
dragons dragon
dragons dragons
formations trainings
giuseppe giuseppe
communal communal
malheureusement sadly
malheureusement unfortunately
provisoire interim
provisoire temporary
provisoire provisional
veuve widowed
veuve widow
apporter bring
nicole nicole
programmation programming
cameroun cameroun
cameroun cameroon
soins treatments
soins care
linguistique linguistics
linguistique linguistic
cesse cease
exercice exercise
lah lah
bot bot
fonctionne operates
devenant becoming
botanique botany
botanique botanical
botanique botanic
connues known
amoureux lovers
amoureux lover
successivement successively
manchester manchester
vouloir wanting
vouloir want
virus virus
virus viruses
iso iso
fermeture closure
fermeture zip
fermeture closing
fermeture zipper
subit undergoes
poursuivre pursue
poursuivre prosecute
poursuivre continue
voile sail
voile sailing
aisne aisne
monarchie monarchy
soutenu sustained
soutenu supported
marchand merchant
marchand marchand
remarquable noteworthy
remarquable notable
remarquable remarkable
remarquable outstanding
yougoslavie yugoslavia
universelle universal
hugues hughes
hugues hugues
hugues hugh
zurich zurich
assassinat murder
assassinat assassination
restaurant restaurant
fernando fernando
wilhelm wilhelm
tribu tribe
hebdomadaire weekly
belges belges
belges belgians
belges belgian
rotation rotating
rotation rotation
rotation rotate
apporte bring
apporte brings
attitude attitude
jugement judgement
jugement judgment
bible bible
cyrillique cyrillic
clark clark
rayon beam
rayon radius
paulo paulo
civils civilian
civils civilians
limoges limoges
immeuble building
vocation vocation
facteur mailman
facteur postman
facteur factor
matches matches
rangers rangers
ryan ryan
fini finished
spatiale spatial
salut hi
salut hello
salut hey
banlieue outskirts
banlieue suburb
banlieue suburban
banlieue suburbs
banlieue banlieue
appartenait belonged
courts short
toulon toulon
pic pic
pic peak
voisins neighbors
voisins neighbours
inconnue unknown
fantasy fantasy
jouant playing
devoir duty
servant serving
bleue blue
irak iraq
bruges brugge
bruges bruges
soixante sixty
tonnes tonnes
tonnes tons
tonnes ton
poche pocket
poche pouch
dieux gods
producteurs producers
producteurs producer
copie copy
copie copies
copie copying
jason jason
chimique chemical
carbone carbon
ouvrir open
normal normal
illinois illinois
jura jura
quarts quarters
confirme confirms
corporation corporation
gras gras
gras bold
gras fat
gras fatty
cible target
africaine african
extra extra
dark darth
morceau track
morceau piece
tenter attempt
tenter tempt
pyramide pyramid
pasteur preacher
pasteur pastor
pasteur pasteur
nintendo nintendo
apprentissage apprenticeship
apprentissage learning
kelly kelly
arnaud arnaud
actifs active
actifs assets
actifs actives
volontaires volunteers
volontaires voluntary
volontaires volunteer
filiale subsidiary
plaisir enjoyment
plaisir fun
plaisir pleasure
limousin limousin
organiser organize
organiser organise
organiser organising
organiser organizing
bateaux boats
lisa lisa
soutient supports
individuel individual
anime anime
croire believe
croire believing
croire belief
domination domination
domination dominance
moto moto
moto motorcycle
moto motorbike
tunnel tunnel
mineur miner
mineur minor
vertical vertical
variable variable
sanctuaire sanctuary
sanctuaire shrine
illustrations illustrations
erreurs mistakes
erreurs errors
erreurs error
bis bis
slovaquie slovakia
statistique statistics
statistique statistical
psychologie psychologists
psychologie psychology
constantinople constantinople
fouilles excavation
fouilles excavations
sel sel
sel salt
princes princes
examen exam
examen review
examen examination
recours remedies
hitler hitler
commencer start
commencer begin
madagascar madagascar
combattants combatants
combattants fighters
candidature candidature
candidature application
candidature candidacy
concurrence competition
jeff jeff
buenos buenos
massacre massacre
potentiel potential
annuel yearly
annuel annual
voisin neighbour
voisin neighbouring
voisin neighbor
free free
dialogue dialogue
dialogue dialog
annuelle yearly
annuelle annual
grotte caves
grotte cave
grotte grotte
grotte grotto
pain bread
toit rooftop
toit roof
opus opus
entraineur trainer
entraineur coach
personnels personal
suivie followed
russell russell
death death
alberto alberto
tension tension
tension voltage
soumis submissive
soumis submitted
secrets secrets
secrets secret
wimbledon wimbledon
rythme pace
rythme rhythm
intervient intervenes
arriver arrival
arriver arriving
arriver arrive
voulait wanted
rupture breakup
rupture breaking
rupture rupture
rupture break
vague vague
vague wave
das das
maintien retention
signal signal
poitiers poitiers
otto otto
steven steven
suicide suicide
accords agreements
accords chords
margaret margaret
refus refusal
refus rejection
refus denial
ter ter
hollande netherlands
hollande holland
ier ier
indiquer indicate
xvi xvi
librairie bookshop
librairie library
librairie bookstore
audio audio
vosges vosges
fuite leak
fuite leakage
fuite escape
reproduction breeding
reproduction reproduction
christianisme christian
christianisme christianity
parcs parks
entendu heard
signifiant meaning
signifiant signifying
hasard random
hasard coincidence
hasard chance
hasard hasard
dispositif device
habitant inhabitant
acier steel
traditions traditions
traditions tradition
formant forming
civilisation civilization
civilisation civilisation
consacre dedicates
consacre devotes
occuper occupy
silence silence
admis admitted
verts greens
raoul raoul
publier post
publier publishing
publier publish
arguments arguments
arguments argument
contribue contributes
lait milk
institute institute
parisien parisien
parisien parisian
matt matt
antenne aerial
antenne antenna
charbon coal
