que that
competencia jurisdiction
competencia competence
competencia competition
sky sky
punta punta
punta tip
punta point
illinois illinois
humana human
cambiar changing
cambiar change
nelson nelson
asturias asturias
verdad true
verdad truth
une joins
une unites
une une
juventud youth
golpe coup
golpe stroke
estadounidenses americans
masa dough
masa mass
masa masa
bosques forestry
bosques woods
bosques forests
bosques forest
bienes goods
bienes assets
egipto egypt
egipto egyptian
moderna modern
intento attempted
intento attempt
textos texts
muerto dead
escribir write
escribir typing
escribir writing
reserva reservation
reserva booking
reserva reserve
live live
culturales cultural
comienzo start
comienzo beginning
lenguaje language
asistencia attendance
asistencia assistance
inicial initial
ejecutivo executive
ignacio ignacio
ignacio ignatius
torneos tournaments
torneos tournament
corto short
chileno chilean
populares popular
usando using
hotel hotel
clara clare
clara clara
normal normal
tampoco neither
tampoco nor
sello stamp
sello seal
revistas journals
revistas magazine
revistas magazines
teniente lieutenant
investigaciones researches
investigaciones investigations
investigaciones inquiries
investigaciones research
mark mark
mendoza mendoza
comerciales commercials
comerciales commercial
titulado titled
titulado entitled
residencia residence
residencia residency
jazz jazz
massachusetts massachusetts
jack jack
hierro iron
nuestro our
nuestro ours
global global
escala scale
bueno good
bueno well
muertos dead
valladolid valladolid
reales real
reales reals
reales royal
comunidades communities
pierre pierre
marcos marcos
marcos mark
marcos frames
vivir living
vivir live
die die
fama reputation
fama fame
united united
gabriel gabriel
apenas barely
apenas hardly
vino wine
alonso alonso
alonso alonzo
sonora sonora
arena arena
arena sand
entrar entering
entrar enter
noruega norwegian
noruega norway
canales channels
canales canals
canales channel
materia matter
roja red
data data
regular regulating
regular regular
regular regulate
salir exit
autoridad authority
bellas bellas
caracas caracas
pasando passing
demasiado too
accidente accident
accidente crash
accidente accidents
manga manga
manga sleeve
medidas measurements
medidas measures
dejando leaving
bajas casualties
bajas low
bajas casualty
asuntos affairs
asuntos issues
aviones aeroplanes
aviones airplanes
aviones aircraft
aviones planes
conquista conquest
conquista conquer
cuartos rooms
cuartos quarters
alemanes german
alemanes germans
laguna pond
laguna laguna
laguna lake
laguna lagoon
montevideo montevideo
protagonista protagonist
protagonista starring
corresponde corresponds
alma alma
alma soul
caballero knight
caballero gentleman
caballero caballero
retiro retiro
retiro retirement
retiro withdrawal
retiro retreat
enciclopedia encyclopedia
enciclopedia encyclopaedia
jaime james
jaime jamie
jaime jimmy
jaime jaime
aspectos aspects
procesos process
procesos processes
ataques attacks
ataques seizures
tony tony
breve short
breve brief
zip zip
universo universe
imperial imperial
sitios websites
sitios sites
sitios places
bot bot
abajo down
abajo below
abajo downstairs
homenaje tribute
homenaje homage
guardia guards
guardia guard
miles miles
miles thousands
rural rural
pantalla screen
pantalla display
convento convent
grabado engraving
grabado engraved
grabado recorded
grabado etching
considerada considered
considerada considerate
corriente current
quinto fifth
quinto quintus
legislatura legislature
puertas gates
puertas door
puertas doors
ruiz ruiz
disponible available
mantiene maintains
mantiene keeps
dulce sweet
dulce dulce
dulce candy
tribunal tribunal
tribunal court
tribunal courtroom
profesores professors
profesores teachers
profesores faculty
posiciones positions
honduras honduran
honduras honduras
conferencia conference
conferencia lecture
tom tom
dvd dvd
dvd dvds
comentarios feedback
comentarios comments
reinado reign
royal royal
naval naval
convertirse become
plano map
plano flat
plano plane
plano plan
oportunidad chance
oportunidad opportunity
documentos documents
viene comes
viene coming
anual yearly
anual annual
elemento item
elemento element
destacado highlighted
destacado featured
destacado highlight
universitario university
time time
actos acts
west west
vega vega
infantil infantile
infantil childish
infantil childlike
escenario scenario
escenario stage
comienzos beginnings
brown brown
flota fleet
flota floats
aun even
clave password
clave key
css css
habita dwells
habita inhabits
jones jones
construida built
construida constructed
profesionales professionals
profesionales pros
profesionales professional
aumento increase
aumento increasing
aumento raise
aumento increased
encontrado found
mejorar improving
mejorar enhance
mejorar improve
comunes common
comunes commons
youtube youtube
rojas rojas
rojas red
caja box
caja caja
caja cashier
guerras wars
formada formed
cabecera header
cabecera headboard
territorial territorial
var var
responsable responsible
responsable maintainer
cortes courts
cortes cortes
cortes cuts
guadalajara guadalajara
dedicado devoted
dedicado dedicated
org org
instrumentos instruments
instrumentos tools
ciclo cycle
incluido included
incluido including
logra achieves
amplia wide
amplia ample
amplia broad
williams williams
murcia murcia
und und
franceses frenchmen
franceses french
civiles civilian
civiles civilians
liberal liberal
tropical tropical
ejemplos examples
secundaria secondary
masculino masculine
masculino male
altos altos
altos highs
xiv fourteenth
xiv xiv
realmente truly
realmente really
doce twelve
doce doce
americano americano
americano american
burgos burgos
siguiendo following
recientemente recently
instrumento instrument
instrumento tool
salamanca salamanca
ayudar helping
ayudar help
portada cover
identidad identities
identidad identity
pasajeros passengers
pasajeros passenger
suficiente enough
suficiente sufficient
mezcla mixing
mezcla mix
mezcla mixture
mezcla blend
mezcla blending
buscar search
culto cult
culto worship
historias tales
historias stories
historias histories
historias storytelling
duda doubt
duda doubts
big big
pies feet
pies toes
pies ft
ida ida
metropolitana metropolitan
url url
url urls
recorrido tour
comunista communists
comunista communist
leyenda legend
leyenda legends
comedia comedy
barco ship
barco boat
romanos romans
romanos roman
etiqueta etiquette
etiqueta tag
etiqueta label
ohio ohio
cable cable
propias own
mensaje message
hugo hugo
hugo hugh
poderes powers
permanente permanent
permanente perm
anime anime
antiguas antique
antiguas ancient
plataforma platform
razones reasons
poblaciones populations
poblaciones stocks
potencia horsepower
potencia potency
potencia power
pro pro
house house
rol role
tren train
juvenil juvenile
misiones misiones
misiones missions
misiones quests
princesa princess
college college
audiencia audience
entrega delivery
valign valign
asteroides asteroid
asteroides asteroids
correspondiente corresponding
reconocido recognised
reconocido acknowledged
reconocido recognized
corta cut
corta short
ocupa occupies
representantes reps
representantes representatives
frank frank
entidad entity
animal animal
recibido received
grand grand
escultura sculpture
escultura sculptures
saga saga
destacar highlight
motivos reasons
motivos pleas
motivos motifs
motivos motives
espacios spaces
fuertes strong
fuertes forts
bases databases
bases bases
sureste southeast
sureste southeastern
chino chino
chino chinese
chino chinaman
viii viii
entorno environment
entorno surroundings
fauna fauna
fauna wildlife
profundidad depth
sirve serves
japonesa japanese
crea creates
crea create
cabe cabe
cabe fits
universidades universities
universidades university
universidades colleges
termina ends
ciudadanos citizens
ciudadanos citizen
copias copies
virginia virginia
descrita described
primaria elementary
primaria primary
distritos districts
moderno modern
zelanda zealand
zelanda zeeland
moreno brown
moreno moreno
destacados highlighted
destacados highlights
destacados featured
utilizando using
pocas few
paulo paulo
pobreza poverty
film film
fachada facade
fachada front
error mistake
error error
ministros ministers
ventas sales
scott scott
contexto context
propiedades property
propiedades properties
historiador historian
enfermedades illnesses
enfermedades illness
enfermedades diseases
cola queue
cola tail
cola glue
cola cola
exteriores outdoor
exteriores exterior
constante steady
constante constant
asesinato assassination
asesinato murder
natal natal
celebra celebrates
celebra celebrate
recibir receive
recibir receiving
lograr achieving
lograr achieve
juntos together
individuales singles
individuales individual
individuales individuals
machos males
machos male
hacienda hacienda
hacienda irs
hacienda treasury
paris paris
chan chan
chilena chilean
roca rock
roca roca
cargos charges
cargos charge
dirigente leader
inicios beginnings
consta consists
dedicada dedicated
religiosos religious
pintores painters
filipinas philippines
filipinas philippine
privada private
juicio judgment
juicio trial
escenas scenes
ingreso income
europeos european
europeos europeans
documental documentary
ascendencia ancestry
ascendencia descent
convertido converted
entrenadores coaches
entrenadores trainers
igualmente also
igualmente equally
igualmente similarly
igualmente likewise
tradicionales traditional
pan pan
pan bread
quinta quinta
quinta fifth
trono throne
noreste northeastern
noreste northeast
inmediatamente immediately
familiar familiar
familiar family
familiar familial
riesgo risk
hablar talk
hablar speak
inicia begins
inicia initiates
inicia starts
inicia initiate
windows windows
ermita chapel
ermita hermitage
caza hunts
caza hunt
caza hunting
llamados called
humanidad humanity
guerrero warrior
guerrero guerrero
seguido followed
tramo stretch
tramo tranche
uefa uefa
representante representative
empieza begins
empieza starts
rugby rugby
chris chris
dakota dakota
galicia galician
galicia galicia
comprende understands
max max
pensilvania pennsylvania
cubierta covered
cubierta cover
cubierta deck
caribe caribbean
perfil profile
escocia scotland
png png
simon simon
establecer establish
amarillo yellow
amarillo amarillo
piel leather
piel fur
piel skin
sergio sergey
sergio sergio
sergio sergei
primavera spring
primavera primavera
primavera springtime
mariano mariano
mariano marian
gas gas
diferencias diff
diferencias differences
dominicana dominican
dimensiones dimensions
dimensiones dimension
objetivos objectives
objetivos goals
objetivos aims
objetivos targets
coro choir
coro chorus
coro choral
eje axle
eje axis
america america
pone puts
pone lays
mary mary
regimiento regiment
regimiento regimental
formando forming
nacidos born
php php
canto song
canto canto
canto chant
canto chanting
canto sing
canto singing
licencia license
licencia licensed
licencia licensing
licencia licence
idiomas languages
idiomas language
directa direct
viena vienna
posiblemente possibly
continente mainland
continente continent
cartas cards
cartas letters
corrientes corrientes
corrientes flows
corrientes currents
femenina feminine
poemas poems
presentado presented
presentado submitted
presentado filed
facebook facebook
palma palma
palma palm
enemigo enemy
enemigo foe
cielo heaven
cielo sky
cielo heavens
dinamarca denmark
dinamarca danish
excepto except
minnesota minnesota
producir produce
producir producing
pico pico
pico peak
conserva preserves
conserva conserve
arma weapon
arma gun
religiosa religious
cementerio cemetery
cementerio graveyard
violencia violence
describe describes
describe describe
voces vocals
voces voices
utilizada utilized
utilizada used
utilizada utilised
bob bob
individual individually
individual individual
once eleven
once once
descubiertos discovered
descubiertos overdraft
esperanza esperanza
esperanza hope
consumo consumption
medieval medieval
amplio wide
amplio ample
amplio broad
amplio spacious
teresa teresa
teresa theresa
agente agent
alumnos pupils
alumnos students
alumnos alumni
cuentos tales
cuentos stories
impacto impact
alfredo alfredo
alfredo alfred
trabajando working
emilio emile
emilio templeton
emilio emil
emilio emilio
kansas kansas
blue blue
secreto secret
secreto secrecy
colombiano columbian
colombiano colombian
inferiores inferior
peligro peril
peligro danger
peligro hazard
peligro endangered
arroyo stream
arroyo brook
arroyo creek
arroyo arroyo
latino latin
latino latino
rama bough
rama ram
rama rama
rama branch
argentinos argentines
argentinos argentinian
argentinos argentine
mantenimiento maintenance
morales moral
morales morales
estudiar studying
estudiar study
society society
comentario comment
comentario commentary
comentario comments
circuito circuit
sexual sexual
libres free
llevado carried
planes plans
jackson jackson
enemigos foes
enemigos enemy
enemigos haters
enemigos foe
enemigos enemies
silva silva
compositores composers
compositores songwriters
victorias wins
victorias victories
puestos positions
puestos posts
puestos stalls
pieza piece
arturo arthur
arturo arturo
superiores superior
superiores superiors
frase phrase
frase sentence
cuerpos bodies
renta rent
renta income
negocios businesses
negocios business
ben ben
gustavo gustav
gustavo gustavo
gustavo gustaf
gustavo kermit
monumentos sightseeing
monumentos monuments
nace nace
funcionamiento operation
funcionamiento functioning
funcionamiento operating
griega greek
cita appointment
cita quote
cita date
cita quotation
terminar finish
guitarrista guitarist
ciertos certain
triunfo win
triunfo trump
triunfo triumph
llegado arrived
walter walter
young young
cristianos christian
cristianos christians
cantabria cantabria
descubierto discovered
descubierto uncovered
delantero forward
delantero front
delantero striker
suroeste southwestern
suroeste southwest
indiana indiana
puebla puebla
trabaja works
min min
caballeros gentlemen
caballeros knights
caballeros gentleman
caballeros gents
minas minas
minas mines
comportamiento behaviour
comportamiento behavior
comportamiento behavioral
originales original
originales originals
nuclear nuclear
nuclear nuke
billboard billboard
escritos written
escritos writings
santander santander
viento winds
viento windy
viento wind
americana american
americana americana
group group
normas rules
normas standards
sectores sectors
espectadores spectators
espectadores viewers
rusa russian
salas salas
salas rooms
salas chambers
peruano peruvian
pez fish
atenas athens
momentos moments
fifa fifa
aplicaciones applications
aplicaciones apps
intenta tries
air air
georgia georgia
hielo ice
caballo horse
caballo horseback
steve steve
significado meaning
significado significance
cordillera range
cordillera cordillera
judicial judicial
protagonizada starring
interpretado portrayed
interpretado interpreted
mis mis
mis my
motores engine
motores motors
motores engines
posibles possible
ganadores winners
pilotos drivers
pilotos pilots
mike mike
foto picture
foto photo
wilson wilson
joe joe
guinea guinea
informe report
treinta treinta
treinta thirties
treinta thirty
cercano nearby
medallas medal
medallas medals
constituye constitutes
archivos files
archivos archives
archivos archive
fechas dates
dobles doubles
dobles double
directores directors
directores managers
democracia democracy
perdido missed
perdido lost
notable remarkable
notable noteworthy
notable notable
tengo got
legal legit
legal legal
tercero third
enorme huge
enorme enormous
constitucional constitutional
constitucional constitution
plazo deadline
escritura writing
escritura write
escritura handwriting
cuyos whose
documento document
iowa iowa
cristiana christian
oscar oscar
carne steak
carne meat
carne beef
poetas poets
ucrania ukraine
ucrania ukrainian
desarrollar develop
ocurre happens
ocurre occurs
enviado shipped
enviado envoy
enviado submitted
enviado sent
street street
reparto cast
reparto distribution
producida produced
harry harry
ciertas certain
alimentos food
alimentos foods
urbana urban
urbana urbana
participa participates
participa participate
association association
casado married
semifinales semifinals
abierta open
habitual habitual
habitual usual
agencia agency
popularidad popularity
votar voting
pinturas paints
pinturas paintings
terminal terminal
terminal terminus
janeiro janeiro
iniciativa initiative
redes networking
redes grids
redes nets
redes networks
estreno premiere
aparte aside
aparte apart
fortaleza fortitude
fortaleza fortaleza
fortaleza strength
fortaleza fortress
fortaleza fort
deriva drift
deriva drifting
marido husband
herrera herrera
buques ships
buques vessels
diccionario dictionary
consigue get
consulta query
consulta consultation
consulta consult
historiadores historians
debate discussion
debate debate
debate debates
perder losing
perder lose
componentes components
belleza beauty
descubre discover
descubre discovers
personales personal
cumplir fulfill
cumplir comply
infancia childhood
infancia children
espacial spatial
espacial space
predecesor predecessor
oscuro dark
oscuro obscure
verdadero real
verdadero true
segundos seconds
segundos second
margen margin
religioso religious
net net
zamora zamora
relativamente relatively
columna column
columna spine
high high
danza dance
danza dancing
veinte twenty
veinte twenties
desarrolla develops
desarrolla develop
periodistas reporters
periodistas journalists
fondos funds
fondos backgrounds
fondos fund
factores factors
barcos ships
barcos vessels
barcos boats
salvo salvo
salvo except
chica girl
precio price
precio pricing
pensamiento thought
pensamiento thinking
pensamiento thoughts
leer read
leer reading
deportistas sportsmen
deportistas athletes
mala bad
mala mala
asesinado murdered
asesinado assassinated
asesinado killed
argumento plot
argumento argument
online online
portal portal
portal gateway
sacerdote priest
night night
buenas good
cultivo culture
cultivo cultivation
cultivo crop
nicaragua nicaraguan
nicaragua nicaragua
guion screenplay
guion script
regionales regional
regionales regionals
rodrigo rodrigo
arzobispo archbishop
mancha mancha
mancha stain
mancha smudge
conocidas known
retirado retired
inteligencia intelligence
inteligencia intel
baile dance
baile dancing
fundamental fundamental
viviendas homes
viviendas housing
disney disney
relevante relevant
fox fox
establece establishes
paseo ride
paseo paseo
paseo walk
albert albert
menciona mentions
menciona mention
green green
famosa famous
obtiene gets
obtiene obtains
brian brian
romero romero
romero rosemary
espera waits
espera wait
encargado commissioned
encargado maintainer
actuaciones performances
reciente recent
intereses interests
intereses interest
senado senate
mercedes mercedes
christian christian
johnson johnson
edward edward
esteban stephen
esteban stefan
esteban esteban
videojuego videogame
coros choirs
vicepresidente vp
vicepresidente vice
plantillas templates
canarias canarias
canarias canaries
canarias canary
disputa disputed
disputa dispute
ave ave
ave bird
post post
participaron participated
globo globo
globo balloon
globo globe
valenciana valencian
den den
aliados allied
aliados allies
rally rally
detalles details
salto jump
salto skip
salto salto
salto jumping
salto hop
state state
marine marine
bilbao bilbao
rivera rivera
roger roger
colonial colonial
competiciones competitions
dictadura dictatorship
academy academy
medina medina
rio rio
rio river
alcanza reaches
ensayo essay
ensayo testing
ensayo rehearsal
ensayo trial
ensayo test
lucas luke
lucas lucas
independientes independents
independientes freelancers
independientes independent
joan joan
boston boston
reglas rules
viernes friday
viernes fridays
suerte lucky
suerte luck
golfo gulf
nobles nobles
nobles noble
augusto augusto
augusto augustus
radical radical
tratar try
tratar treat
establecido established
bruselas brussels
mandato mandate
trenes train
trenes trains
feria fair
comida food
apellido surname
etapas phases
etapas stages
comunas communes
seguro safe
seguro sure
seguro insurance
seguro secure
fotos photographs
fotos photos
fotos pictures
amistad friendship
entra enters
entra enter
hill hill
particularmente particularly
extranjeros aliens
extranjeros foreigner
extranjeros foreigners
extranjeros foreign
contar counting
frecuentemente frequently
frecuentemente often
lagos lagos
lagos lakes
lagos lake
montes montes
montes mountains
montes monti
hot hot
descriptiva descriptive
fruto fruit
manual handbook
manual manual
coche car
bernardo bernard
bernardo bernhard
bernardo bernardo
terrenos plots
terrenos land
terrenos terrain
miranda miranda
ceremonia ceremony
ceremonia ceremonies
columbia columbia
lejos far
lejos away
conflictos conflicts
conflictos conflict
fallecidos deceased
alicante alicante
pregunta question
pregunta ask
drama drama
juez judge
familiares relatives
familiares family
requiere require
requiere requires
sons sons
afirma affirms
afirma asserts
ala wing
ala ala
continental continental
taylor taylor
sexo gender
sexo sex
miami miami
day day
previamente previously
macdonald macdonald
abarca encompasses
abarca covers
literaria literary
tomo tome
descenso decline
descenso decrease
descenso descent
descritos described
viajes travels
viajes travel
viajes trips
bloqueo lock
bloqueo locking
bloqueo blockade
bloqueo blocking
bloqueo block
empleados employee
empleados employees
dada dada
poblado populated
poblado village
batallas battle
batallas battles
demanda demand
demanda lawsuit
continuar continuing
continuar continue
paredes paredes
paredes walls
jurado jury
can can
empleo jobs
empleo job
empleo employment
usos uses
usos usages
upper upper
cabezas heads
misuri missouri
opera opera
aniversario anniversary
terremoto earthquake
casco helmet
casco hull
factor factor
hollywood hollywood
suma sum
oxford oxford
deseo desire
deseo wish
ejemplares specimens
ejemplares exemplary
ejemplares copies
gonzalo gonzalo
buque vessel
buque ship
diciendo telling
diciendo saying
ausencia absence
lanza lance
lanza launches
lanza spear
wheeler wheeler
naves ships
naves vessels
interna intern
interna internal
personalidad personalities
personalidad personality
totalidad entirety
totalidad totality
bill bill
flor blossom
flor flor
flor flower
jugando playing
alas wings
jardines gardens
muro wall
grados grades
grados degrees
santuario sanctuary
santuario shrine
empresario entrepreneur
empresario employer
empresario businessman
regresar return
regresar returning
entrenamiento training
entrenamiento workout
izquierdo left
propietario owner
propietario landlord
llegan arrive
claramente clearly
molina molina
marie marie
poseen possess
pasos steps
pasos footsteps
descubrimiento discovery
retirada retired
retirada withdraw
retirada retreat
retirada withdrawal
ciclista cyclist
tarea task
tarea homework
extranjero foreigner
extranjero foreign
extranjero alien
extranjero abroad
anna anna
divide splits
divide divides
divide divide
cercana nearby
divisiones divisions
vieja old
vieja vieja
abandonar abandon
organismos agencies
organismos organisms
indios indians
indios indian
journal journal
grave serious
grave severe
habana havana
habana habana
punk punk
caracteriza characterise
caracteriza characterize
caracteriza characterizes
organismo organism
seres beings
encuentros meetings
encuentros encounters
auto auto
auto self
auto car
ford ford
columnas columns
incluida included
incluida including
comunicaciones communications
elena helena
elena elena
elena helene
elena ellen
elena helen
productores producers
productores producer
racing racing
secciones sections
tesis dissertation
tesis theses
tesis thesis
bautista bautista
bautista baptist
embajada embassy
invitado guest
invitado invited
best best
tenis tennis
individuos individuals
finalizar finish
finalizar finalize
exposiciones exhibitions
exposiciones exhibition
exposiciones exhibits
museos museums
museos museum
little little
explica explain
explica explains
cambridge cambridge
lectura read
lectura reading
jornada workday
extiende extends
quiero want
wiley wiley
colorado colorado
muere die
muere dies
recientes recent
llamadas calls
cristina christina
cristina cristina
cristina christine
rutas routes
presentar submit
rival rival
norma norma
norma norm
norma standard
noticia news
estudiante student
taller workshop
caminos roads
caminos paths
caminos ways
alcance scope
alcance range
alcance reach
laura laura
pdf pdf
privado private
participado participated
esfuerzo exertion
esfuerzo endeavor
esfuerzo effort
piedras stones
piedras rocks
capa cape
capa layer
capa cloak
lateral lateral
lateral sidebar
lateral side
editores publishers
editores editors
ernesto ernest
ernesto ernesto
ernesto ernst
exclusivamente exclusively
magnitud magnitude
cueva cave
alternativa alternative
alternativa alternate
discurso discourse
discurso speech
activa active
activa activate
activa actively
activa activates
entidades entities
tareas chores
tareas assignments
tareas tasks
tareas homework
moneda currency
moneda coin
moneda currencies
relacionado related
armadas armed
aldea hamlet
aldea aldea
aldea village
soporte support
occidente west
occidente western
vivienda dwelling
vivienda housing
gloria glory
gloria gloria
chico boy
chico chico
chico kid
incluir include
prado prado
prado meadow
editado edited
times times
representan represent
religiosas religious
religiosas nuns
definitivamente definitely
asistente assistant
fallecido deceased
canadiense canadian
alex alex
jacques jacques
ritmo pace
ritmo rhythm
andes andes
guionista screenwriter
mallorca majorca
mallorca mallorca
vocal vowel
vocal vocal
senador senator
costas coasts
costas coast
costas costas
organizado organised
organizado organized
adultos adults
adultos adult
dispone disposes
piso flat
piso apartment
piso floor
partida departure
partida heading
carreteras roads
carreteras highways
declarado declared
declarado stated
gobiernos governments
special special
quito quito
cardenal cardinal
hermandad sorority
hermandad sisterhood
hermandad brotherhood
perro dog
establecimiento establishment
dura hard
dura tough
dura dura
precisamente precisely
portuguesa portuguese
gregorio gregorio
gregorio gregory
gregorio gregor
listado list
listado listed
listado listing
tocar touching
negros negroes
negros negros
negros black
negros blacks
negros niggas
asunto subject
ramas twigs
ramas branches
publica publishes
publica posts
morir die
morir dying
insecto insect
insecto bug
ganando earning
ganando winning
cartagena cartagena
cocina cook
cocina cuisine
cocina cooking
cocina kitchen
asociado associated
asociado associate
cualquiera anyone
cualquiera any
cualquiera anybody
concejo council
pesca fisheries
pesca fish
pesca fishing
primo cousin
primo primo
avance advance
avance advancement
avance breakthrough
proteger protecting
proteger protect
presidencial presidential
pacientes patients
pacientes patient
finlandia finland
finlandia finnish
laterales lateral
laterales side
laterales sides
estrecho strait
estrecho narrow
ampliamente broadly
ampliamente extensively
ampliamente widely
papeles paperwork
papeles roles
papeles papers
determinar determining
determinar determine
telenovela telenovela
poema poem
lados sides
saludo greeting
saludo salute
recuerda remember
indonesia indonesian
indonesia indonesia
prentice prentice
marino sailor
marino marine
marino marino
ramos ramos
ramos bouquets
ray ray
pelea fight
virus virus
virus viruses
umbral threshold
potencial potential
extra bonus
extra extras
extra extra
pilar pillar
pilar pilar
utilizados used
moral morale
moral moral
moral morals
moral morality
cierre closure
cierre close
cierre closing
vargas vargas
carl carl
paisaje scenery
paisaje landscape
noble nobleman
noble noble
pertenecientes belonging
rendimiento performance
rendimiento yield
acontecimientos events
acontecimientos developments
escultor sculptor
supuesto assumed
usada used
penal penalty
penal criminal
penal penal
davis davis
sam sam
recuperar recover
recuperar retrieve
resumen abstract
resumen summary
serbia serbia
arcos arches
arcos bows
integrado integrated
existentes existing
errores mistakes
errores errors
errores bugs
errores error
responsabilidad liability
responsabilidad responsibility
responsabilidad accountability
amenaza threatens
amenaza menace
amenaza threats
amenaza threat
ojo eyeball
ojo eye
cero zero
teatral theatrical
habilidades skills
habilidades skill
habilidades abilities
bbc bbc
pago pay
pago payment
pago pago
tendencia trend
tendencia trending
tendencia tendency
marcas trademark
marcas trademarks
marcas marks
marcas brands
vietnam vietnam
gana wins
gana win
cambia changes
cambia change
terror terror
pena penalty
pena pity
pena sorrow
pena grief
pena pena
producen produce
habilidad skill
habilidad ability
define defines
define define
tiro shooting
tiro shot
tiro tyre
navarro navarro
solitario lonely
solitario loner
solitario solitaire
solitario lonesome
wisconsin wisconsin
cursos courses
dioses gods
dolor pain
num num
boys boys
magdalena madeleine
magdalena cupcake
magdalena magdalene
magdalena muffin
magdalena magdalena
cadenas chains
cadenas strings
tasa rate
tasa fee
hecha made
notables notable
wiki wiki
criterios criteria
out out
hermanas sisters
interpretada interpreted
disponibles available
dependiendo depending
herramientas tools
blackwell blackwell
gil gil
vocalista vocalist
escapar escape
espada blade
espada swords
espada sword
will will
sexto sixth
sexto sextus
sexto sexto
matar killing
matar kill
matar slay
ninguno none
vertical vertical
oficinas offices
oficinas office
kong kong
disciplina discipline
cech cech
aparecer appearing
aparecer appear
gigante giant
cristiano cristiano
cristiano christian
moyle moyle
revolucionario revolutionary
obispos bishops
blancas white
sport sport
derrotado defeated
participaciones participations
participaciones holdings
participaciones shareholdings
candidatura candidature
candidatura candidacy
candidatura nomination
ortiz ortiz
cuadros tables
cuadros paintings
cuadros pictures
voluntad will
voluntad willingness
habiendo having
necesidades necessities
necesidades needs
eliminar eliminate
eliminar remove
eliminar delete
vandalismo vandalism
france france
karl karl
clasificado rated
clasificado classified
clasificado ranked
ven come
maestros masters
maestros teachers
negocio business
escribe write
escribe writes
escribe type
esfuerzos endeavors
esfuerzos efforts
dolores pain
dolores dolores
actuar acting
producciones productions
necesita need
necesita needs
andrea andrea
gris gray
gris grey
oviedo oviedo
lewis lewis
margarita margaret
margarita margarita
margarita marguerite
margarita daisy
adicional additional
regresa returns
brigada brigade
claudio claude
claudio claudius
claudio claudio
graves graves
championship championship
logrando accomplishing
logrando achieving
junior junior
tomando taking
depende depends
aventuras adventure
aventuras adventures
combustible fuels
combustible fuel
eric eric
inaugurado inaugurated
inaugurado opened
embajador ambassador
dirige directs
entender understand
compra purchase
compra buy
compra buying
obligado forced
obligado obligated
obligado bound
involucrados involved
desierto desert
compuestos composite
compuestos composites
compuestos compound
compuestos compounds
lisboa lisbon
juana joanna
juana jane
juana joan
juana jeanne
electo elected
electo elect
agentes agents
agentes officers
creador maker
creador creator
productora producer
power power
venecia venice
ensayos tests
ensayos trials
ensayos testing
ensayos rehearsals
ensayos essays
barroco baroque
rev rev
alba alba
alba dawn
considerar consider
ingenieros engineering
ingenieros engineers
insectos insects
insectos insect
insectos bugs
pistas leads
pistas tracks
pistas slopes
pistas clues
trinidad trinity
trinidad trinidad
cinta tape
cinta ribbon
cinta treadmill
retrato portrait
retrato portraits
calor heat
calor warmth
calor hot
stone stone
are are
colonias colonies
goya goya
mejora improves
mejora improvement
mejora improving
mejora improve
flandes flanders
republicano republican
lord lord
twitter twitter
talleres workshop
talleres workshops
jim jim
angeles angeles
angeles angels
peor worst
peor worse
anillo ring
blues blues
parejas pairs
parejas couples
nieto grandchild
nieto grandson
verdadera true
acceder access
acceder accessing
hans hans
terrestre terrestrial
terrestre earth
terrestre earthling
elenco cast
estrategia strategy
causas causes
virtual virtual
temporal temporal
temporal temporary
temporal temp
contenidos content
contenidos contents
clausura closure
clausura decommissioning
clausura closing
frecuente frequently
frecuente common
frecuente frequent
obteniendo fetching
obteniendo obtaining
obteniendo getting
alternativo alternative
alternativo alternate
tenerife tenerife
lunes mondays
lunes monday
grammy grammy
grammy grammys
minuto minute
minuto min
estilos styles
probable likely
probable probable
estatua statue
supremo supreme
recinto enclosure
equivalente equivalent
campus campus
campus campuses
tomado taken
estancia stay
jan jan
anexos appendices
anexos annexes
anexos attachments
descendientes descendant
descendientes offspring
descendientes descendents
descendientes descendants
caballos horses
caballos horse
verdes green
verdes greens
boy boy
back back
retablo altarpiece
lara lara
evidencia evidence
hidalgo hidalgo
marruecos morocco
marruecos marrakesh
amiga amiga
amiga friend
hola hi
hola hello
gales wales
defensor defender
tokio tokyo
sir sir
euros eur
euros euro
euros euros
ciclismo biking
ciclismo cycling
definitiva definitive
controlar control
controlar controlling
alpes alps
alpes alpes
alpes alpine
benito benedict
benito benito
benito benny
copas cups
copas glasses
copas drinks
semillas seeds
semillas seed
subfamilia subfamily
pierde loses
pierde lose
variante variant
acero steel
collette collette
malden malden
aumentar increase
aumentar increasing
adicionales additional
patria motherland
patria fatherland
patria patria
patria homeland
prisioneros prisoner
prisioneros prisoners
actitud attitude
actitud attitudes
borde edge
borde border
bibliotecario librarian
pre pre
war war
est est
moda fashion
lanzada launched
rebotes bounces
rebotes rebounds
tienda shop
tienda store
tienda tent
temperaturas temperatures
temperaturas temperature
obtenido obtained
nintendo nintendo
vera vera
reducir narrowing
reducir reducing
reducir reduce
buscando looking
buscando searching
buscando seeking
long long
cuento tale
otorgado granted
otorgado bestowed
otorgado awarded
imposible impossible
mencionado mentioned
draft draft
africa africa
audio audio
hong hong
toro toro
toro bull
solista soloist
tribu tribe
registros logs
registros registrations
registros records
registros registries
ligeramente slightly
ligeramente lightly
