年 year
健康 healthy
健康 health
股 unit
身高 height
熱 hot
熱 heat
空中 aerial
空中 airborne
空中 air
工人 workers
工人 worker
輕 light
輕 lighter
經常 frequently
經常 regular
經常 often
經常 frequent
臺 terrace
滿 mitsuru
滿 full
負 negative
粵語 cantonese
亨利 henry
交易 transaction
交易 trading
交易 deal
交易 transactions
黑色 black
爆炸 blast
爆炸 explosion
爆炸 detonation
喜歡 like
各種 assorted
警方 police
十七 seventeen
尹 yoon
能量 energy
酒 alcohol
酒 wine
地面 surface
地面 ground
太平 taiping
普遍 universal
十年 decade
然後 then
十四 fourteen
鬼 ghost
昆 kun
中山 zhongshan
鼠 rat
鼠 mouse
鼠 mice
必要 necessary
俄 russia
彩 chae
山西 shanxi
南極洲 antarctica
南極洲 antarctic
小型 small
退出 quit
退出 exit
以色列 israel
兒童 children
兒童 child
一切 everything
東部 east
東部 eastern
逐漸 gradual
逐漸 gradually
博物館 museums
博物館 museum
固定 fixed
固定 stationary
對話 conversation
對話 dialogue
對話 dialogues
對話 dialog
對話 conversations
琴 violin
階段 phase
階段 phases
階段 stages
階段 stage
江西 jiangxi
游 swim
游 tour
游 swimming
薛 xue
病 ill
病 illness
病 disease
病 sick
病 sickness
問 ask
翡翠 jade
維持 maintain
維持 maintaining
維持 maintenance
格式 formatting
格式 formats
格式 format
事故 accident
事故 accidents
臺北 taipei
互 mutual
刺 stab
藝人 artiste
藝人 entertainers
藝人 artist
藝人 artists
藝人 entertainer
天使 angels
天使 angel
表面 surface
池 pond
池 ji
池 pool
陸 lu
圖片 picture
圖片 pictures
圖片 image
圖片 images
建設 construction
風暴 storms
風暴 storm
定義 definition
定義 define
定義 defining
定義 definitions
步兵 infantry
指定 specifies
指定 designation
指定 designated
指定 specify
解決 resolve
解決 solve
熊 bears
熊 xiong
熊 bear
休 hugh
國語 mandarin
火箭 rockets
火箭 rocket
騎士 knight
騎士 cavs
騎士 knights
指揮 command
指揮 conductor
安排 arrange
安排 arrangements
安排 arrangement
實 minoru
象 elephants
象 elephant
明星 star
明星 stars
爆發 outbreak
爆發 eruption
現任 current
現任 present
潮 tide
匈牙利 hungary
匈牙利 hungarian
羊 sheep
羊 goat
河流 river
河流 rivers
出席 attending
出席 attended
改造 makeover
改造 remodel
車輛 vehicles
車輛 vehicle
京都 kyoto
五月 may
上午 morning
河北 hebei
馮 feng
使用者 user
使用者 users
鄧 deng
機械 machine
機械 machinery
機械 mechanical
爭議 disputed
爭議 controversy
爭議 disputes
爭議 controversies
爭議 controversial
爭議 dispute
發射 launch
首先 first
入侵 invasion
入侵 incursions
同盟 league
同盟 alliances
同盟 alliance
同盟 allies
轉換 convert
轉換 conversion
轉換 transform
轉換 converting
轉換 transformation
疑似 suspected
唱 sing
蕭 shaw
血 blood
努力 efforts
事情 things
監督 oversight
監督 supervised
監督 supervision
監督 surveillance
軌道 track
軌道 orbital
軌道 tracks
軌道 orbit
軌道 orbits
今日 today
狼 wolf
尼斯 nice
部門 department
部門 sector
汗 sweating
汗 khan
汗 sweat
汗 sweaty
沿 along
南極 antarctic
南極 antarctica
綜合 synthesis
廣播 broadcast
廣播 broadcasting
廣播 radio
河畔 nad
比例 ratio
比例 proportions
比例 proportion
比例 proportional
偶像 idols
偶像 idol
側 lateral
側 side
怡 jardine
父母 parents
父母 parent
它們 they
鍾 clock
選區 constituencies
選區 constituency
廖 liao
渡 wataru
飛行 flying
飛行 flight
統一 unified
統一 unity
統一 reunification
統一 unification
統一 harmonization
冬 winter
大獎 jackpot
恢復 restore
恢復 restoration
恢復 recovery
恢復 resume
綠 midori
綠 green
設施 facilities
設施 amenities
設施 installations
設施 facility
退役 decommissioning
退役 retired
退役 decommissioned
框 box
框 frames
框 frame
住宅 dwelling
住宅 residential
住宅 residences
住宅 residence
伊朗 iran
伊朗 iranian
圍 wai
莊 banker
莊 zhuang
混合 hybrid
混合 mix
混合 blending
混合 mixed
混合 blend
混合 mixing
殺 kill
殺 slay
山脈 mountains
山脈 range
上海市 shanghai
莫斯科 moscow
食品 food
食品 foods
食品 foodstuffs
王國 kingdom
王國 realm
王國 kingdoms
希臘 greek
希臘 greece
深度 depths
深度 depth
高雄 kaohsiung
法案 bill
法案 bills
有限 limited
有限 finite
學者 academics
學者 scholar
學者 scholars
戰士 soldier
戰士 warrior
被迫 forced
湖北 hubei
合成 synthetic
合成 composite
合成 synthesis
四十 forty
傅 fu
基因 gene
基因 genes
罪 sin
罪 sins
鳥 bird
鳥 birds
教練 coach
展示 showcase
展示 show
展示 display
湘 xiang
槍 gun
錦 kam
只要 just
義大利 italy
義大利 italian
讀 read
讀 reading
很快 soon
成都 chengdu
追 chase
厚 thick
拍 shoot
統治 reign
藩 domain
部落 tribe
部落 tribal
部落 tribes
圓 circle
圓 round
幫助 help
教會 churches
教會 church
連結 connecting
連結 link
連結 connect
設定 set
設定 setting
設定 settings
記者 reporters
記者 journalist
記者 reporter
數量 quantities
數量 quantity
星系 galaxies
星系 galaxy
鳳 phoenix
假 false
假 fake
感 sense
留下 stay
方便 convenient
領 collar
程式 program
程式 programs
校長 headmaster
校長 principal
合理 reasonable
挪威 norwegian
挪威 norway
步 step
勇 yong
所在地 location
解釋 explanations
解釋 explanation
解釋 explain
十九 nineteen
刀 sword
刀 knife
批評 criticism
批評 criticisms
批評 criticize
太子 prince
紀 ji
檔案 files
檔案 archives
檔案 file
檔案 archive
爵士 jazz
狗 dog
狗 dogs
國會 parliament
國會 congress
病毒 virus
病毒 viruses
富士 fuji
阿根廷 argentina
當選 elected
創 tron
計算 calculate
計算 calculating
計算 computing
計算 calculation
計算 calculations
對手 rival
對手 opponents
對手 rivals
對手 opponent
碧 bea
湯 soup
艦隊 fleet
廣州 guangzhou
錢 money
碑 stele
碑 monument
食用 edible
晉 jin
晉 jinn
廣東 guangdong
廣東 cantonese
棒球 baseball
中立 neutrality
中立 neutral
質量 mass
質量 quality
化石 fossils
化石 fossil
持有 possession
持有 holdings
持有 holding
理解 understood
理解 understanding
其實 actually
波蘭 poland
美洲 america
美洲 americas
恆星 stellar
恆星 star
恆星 stars
部長 minister
挑戰 challenges
挑戰 challenge
挑戰 challenging
東方 dongfang
東方 east
東方 oriental
東方 orient
東方 eastern
賈 jia
羽毛球 badminton
幾乎 almost
阿拉 allah
玲 ling
消失 disappear
例子 examples
司令 commander
月球 lunar
月球 moon
地圖 map
地圖 maps
杭州 hangzhou
女兒 daughter
結婚 marriage
岳 yue
引用 quoted
引用 quote
引用 quotes
官員 officials
請求 requests
請求 request
殖民地 colonies
殖民地 colony
原子 atoms
原子 atomic
原子 atom
菲律賓 philippines
觀眾 spectators
觀眾 audience
觀眾 audiences
觀眾 viewers
進攻 attack
珊 sun
貓 cats
貓 cat
吸引 attraction
吸引 attracted
吸引 attract
吸引 attracting
測試 test
測試 tests
測試 testing
專業 professional
專業 profession
專業 specialty
旅遊 tour
旅遊 travel
旅遊 tourism
旅遊 tourist
旅遊 traveling
石油 oil
石油 petroleum
浪 waves
浪 wave
需求 need
需求 needs
需求 demand
內部 interior
內部 inside
內部 internal
內部 internally
浦 pu
失 lost
集合 gather
方言 dialect
方言 dialects
日文 japanese
特里 terry
犯罪 crimes
犯罪 crime
君主 monarch
君主 monarchy
君主 sovereign
公爵 duke
降低 decrease
私人 private
軟體 software
每日 everyday
每日 daily
拒絕 decline
拒絕 denial
拒絕 rejection
原始 raw
原始 primitive
原始 original
尖 pointy
潭 tam
警告 warning
警告 warnings
俱樂部 club
俱樂部 clubs
敗 defeat
貿易 trading
貿易 trade
減少 decline
減少 reduce
減少 reduction
減少 decrease
減少 reducing
減少 reduced
知名度 visibility
身體 body
硬 hard
碼頭 dock
碼頭 wharf
碼頭 pier
女主角 heroine
女主角 actress
邱 qiu
恐怖 terror
恐怖 horror
柴油 diesel
肖 shaw
園 garden
生於 born
風格 styles
風格 style
這裡 here
長度 lengths
長度 length
勝利 win
勝利 victory
勝利 triumph
女王 queen
蒙特 mont
天皇 emperor
每天 everyday
邀請 invite
邀請 inviting
邀請 invited
邀請 invitations
邀請 invitation
邀請 invites
傳說 legend
傳說 legends
變化 changes
舞台 arena
舞台 stage
實際 actual
食物 food
食物 foods
延伸 stretch
延伸 extending
延伸 extended
延伸 extend
延伸 extension
廠 plant
廠 factory
菊 ju
推 push
意外 accident
羽 feather
前鋒 vanguard
前鋒 striker
收費 charges
收費 charge
收費 fee
收費 charging
收費 fees
巷 lane
巷 alley
翔 xiang
翔 shang
翔 sho
圖書館 libraries
圖書館 library
突破 breakthrough
突破 breaking
人生 life
回應 responding
通用 generic
通用 common
修正 amendment
修正 amendments
修正 amend
天文 astronomical
天文 astronomy
原創 originality
原創 original
地鐵 subway
地鐵 metro
先後 successively
先後 successive
瓜 melon
司法 justice
花園 garden
花園 gardens
玄 xuan
玄 hyun
實驗 experiments
實驗 experiment
實驗 experimental
課程 course
課程 curriculum
課程 courses
課程 curricula
估計 estimated
估計 estimations
估計 estimates
估計 estimating
估計 estimate
估計 estimation
箱 box
規劃 planning
伏 volt
配置 configuration
配置 configure
後衛 defender
國內 domestically
國內 domestic
海南 hainan
柴 chai
個月 month
現場 scene
津 tsu
十字 cross
信仰 faith
信仰 belief
信仰 beliefs
反應 react
反應 reaction
反應 reactions
賞 reward
卒 pawn
文明 civilization
安徽 anhui
價值 values
價值 value
本地 locally
本地 local
案件 case
銷售 selling
銷售 sales
銷售 sale
旅行 travel
旅行 travelling
旅行 traveling
旅行 trip
小姐 miss
多個 multiple
考慮 consider
靖 jing
波斯 persian
退休 retiring
退休 retirement
退休 retired
路易 louis
冬季 winter
步槍 rifles
步槍 rifle
捷運 mrt
捷運 metro
棋 chess
棋 shogi
久 long
機器 machine
機器 machines
通道 channel
通道 passage
墨 ink
疾病 illness
疾病 disease
疾病 diseases
疾病 sickness
含有 contains
逮捕 arrest
逮捕 arrests
英里 miles
心理 psychological
心理 psychology
心理 mental
氣旋 cyclone
氣旋 cyclones
生成 generating
生成 generate
生成 generated
生成 generates
每個 every
每個 each
失敗 fail
失敗 failed
失敗 failure
嘴 mouth
捷克 czech
數位 digital
馬來西亞 malaysia
協議 agreement
支流 tributaries
投降 surrender
蕾 lei
蕾 ree
郎 lang
四月 april
蛋白 protein
蛋白 proteins
條件 conditional
條件 conditions
條件 condition
蘇格蘭 scotland
印尼 indonesian
下降 decline
下降 drop
名單 list
名單 lists
隊長 captain
霸 bak
高清 hd
戲劇 drama
戲劇 theater
戲劇 theatre
創建 create
創建 creation
創建 creating
牙 teeth
牙 tooth
吃 eating
吃 eat
首席 chief
可靠 reliable
強烈 strong
芝加哥 chicago
運作 functioning
女人 woman
滕 teng
濟 je
華人 chinese
繼承 succession
繼承 inherit
繼承 inheritance
淡水 freshwater
資源 resource
資源 resources
平面 flat
平面 plane
重量 weights
重量 weight
依然 still
化學 chemical
化學 chemistry
乾 dry
蔣 chiang
房屋 house
房屋 houses
共識 consensus
基金會 foundation
基金會 foundations
老師 teacher
經紀 brokerage
經紀 broker
經紀 brokers
五十 fifty
堅 caine
刻 engraved
刻 carving
合約 contracts
合約 contract
平原 plain
平原 plains
證明 proof
佔領 occupy
佔領 occupation
領導 leading
領導 leadership
蓮 lotus
蓮 lian
幸福 happiness
幸福 happy
靜 jing
弟弟 brother
引入 introducing
引入 introduce
貝爾 bell
城堡 castle
奧運 olympic
奧運 olympics
歡迎 welcome
泰國 thailand
影像 images
影像 image
影像 imaging
凌 ling
凌 ram
院士 academician
壽 shou
吻 kisses
吻 kiss
火山 volcano
火山 volcanic
火山 volcanoes
廟 temple
阿拉伯 arabia
阿拉伯 arab
腳 feet
腳 foot
產業 industries
產業 industry
產業 estate
一致 unanimity
生存 survival
棒 great
裝置 device
裝置 installations
裝置 devices
現象 phenomena
現象 phenomenon
基於 based
女孩 girl
女孩 girls
年輕 young
藤 vine
藤 rattan
早上 morning
商品 product
商品 goods
商品 commodities
商品 products
商品 merchandise
受傷 injured
評論 comment
評論 comments
主張 advocate
狀況 status
狀況 condition
放棄 discard
小組 panel
承認 recognition
年齡 age
年齡 ages
汀 ting
廣泛 widespread
廣泛 extensive
地名 toponymy
地名 toponyms
嶺 ridge
更改 modify
更改 changes
更改 change
序 prologue
派遣 dispatch
曉 hiu
泥 mud
泥 clay
葵 kwai
葵 aoi
中期 midterm
研究生 postgraduate
研究生 graduate
提及 mentions
提及 mention
訪問 visit
訪問 visits
儘管 although
拳 fist
利益 interests
霞 xia
霞 kasumi
伊拉克 iraq
奧林匹克 olympic
最低 lowest
衛星 satellites
衛星 satellite
衛星 moons
純 pure
海上 sea
正面 positive
愛情 love
島嶼 island
島嶼 islands
粗 rough
生日 birthdays
生日 birthday
蟹 crabs
蟹 crab
邨 estate
放送 broadcasting
理想 ideals
理想 ideal
桃 peach
忽略 ignore
忽略 ignored
忽略 neglect
忽略 ignoring
農業 agricultural
農業 farming
農業 agriculture
荃 tsuen
活 live
舞蹈 dance
舞蹈 dancing
民主黨 democrats
誠 makoto
丸 maru
丸 pills
衝突 conflicts
衝突 clashes
衝突 clash
衝突 conflict
湖泊 lake
湖泊 lakes
確認 confirmed
確認 confirmation
確認 confirm
簡 jane
調整 adjustments
調整 adjusting
調整 adjustment
調整 adjust
調整 realignment
崖 cliffs
崖 bluff
崖 cliff
犬 dog
犬 canine
犬 dogs
編劇 screenplay
編劇 writer
編劇 screenwriter
版權 copyrights
版權 copyright
勳 hoon
冷 cold
粒子 particles
粒子 particulates
粒子 particle
婚姻 marriage
婚姻 marriages
最新 newest
最新 latest
成本 cost
成本 costs
祿 loc
祿 roku
接收 receive
接收 receiving
接收 reception
數字 figures
數字 number
數字 numbers
常見 common
愛爾蘭 irish
愛爾蘭 ireland
第九 ninth
冰川 glacier
冰川 glaciers
通知 notifications
通知 notice
通知 notification
鼓 drum
鼓 drums
裝甲 armor
裝甲 armour
裝甲 armored
裝甲 armoured
惡 evil
拉丁 latin
邵 shao
邵 shaw
政治家 politicians
政治家 politician
上升 rise
上升 rising
丈夫 husband
布朗 brown
重要性 importance
黃金 golden
黃金 gold
醫學 medicine
醫學 medical
到達 arrival
到達 arrive
到達 arrived
山口 yamaguchi
山口 col
紅色 red
商人 merchant
商人 businessman
商人 merchants
商人 businessmen
成就 achievements
成就 accomplishments
成就 accomplishment
成就 achievement
十月 october
十月 oct
金屬 metal
金屬 metals
金屬 metallic
改編 adapting
改編 adapted
改編 adaptations
收購 acquisitions
收購 takeover
收購 takeovers
安裝 installation
安裝 installs
安裝 installing
安裝 installed
安裝 install
大街 avenue
民進黨 dpp
糖 candy
糖 sugar
動作 action
動作 moves
半島 peninsula
半島 peninsular
分裂 divided
分裂 splitting
分裂 split
分裂 divide
代替 replace
隊伍 teams
隊伍 team
收藏 collection
收藏 collections
措施 measures
能源 energy
大多 most
大多 mostly
機動 maneuver
機動 manoeuvre
暴力 violent
暴力 violence
人們 people
觀測 observational
觀測 observing
觀測 observation
面對 facing
農 nong
暗 dark
划 row
壁 wall
知識 knowledge
粉 pink
粉 powder
預計 projected
預計 anticipated
預計 expected
顏色 color
顏色 colours
顏色 colour
顏色 colors
補 supplement
譚 tam
譚 tan
控股 holdings
控股 holding
團隊 teams
團隊 team
碳 carbon
分支 branches
分支 branch
拆除 dismantle
拆除 dismantling
拆除 demolition
女神 goddess
律師 lawyers
律師 lawyer
年份 years
年份 year
免費 free
物質 substance
物質 substances
大致 approximate
自我 self
自我 ego
家人 family
任期 term
任期 tenure
永久 permanence
永久 permanent
永久 permanently
分配 allocation
分配 distribution
幻想 fantasy
幻想 illusion
幻想 illusions
幻想 fantasies
福州 fuzhou
購買 purchase
購買 buy
購買 purchases
購買 purchasing
購買 purchased
購買 buying
經驗 experiences
經驗 experience
航空公司 airlines
航空公司 airline
物種 species
廉 lian
火星 martian
火星 mars
治療 therapeutic
治療 therapy
治療 treatment
戀 koi
波特 potter
國民黨 kuomintang
國民黨 kmt
玻璃 glass
學術 academic
學術 academia
三角 triangulation
三角 triangle
三角 triangular
結合 combine
結合 combined
結合 combining
斜 slant
推動 push
港口 port
港口 harbour
港口 ports
穩定 stability
穩定 stabilization
穩定 steady
穩定 stable
氣 gas
法官 judge
法官 judges
透露 disclosed
古典 classical
古典 classic
喬治 george
市區 downtown
共和 republican
共和 republic
作曲家 composers
作曲家 songwriter
作曲家 composer
教宗 pope
角度 angle
角度 angles
地址 addresses
地址 address
身分 identity
碼 code
碼 yard
碼 yards
引發 triggered
顏 yan
慕尼黑 munich
感染 infections
感染 infected
感染 infection
薄 thin
保障 guarantees
保障 guarantee
安娜 anna
原則 principles
原則 doctrine
原則 principle
收集 collecting
收集 collection
收集 collect
收集 collected
簡單 simple
簡單 easy
男人 men
男人 man
規則 rules
化合物 compounds
化合物 compound
八月 august
八月 aug
法庭 tribunal
法庭 court
法庭 courts
法庭 tribunals
貴 gui
貴 expensive
榮譽 honours
榮譽 honor
榮譽 honour
聞 smell
四個 four
出售 sell
出售 sale
民間 folk
想要 want
共產黨 communists
防止 preventing
防止 prevent
淳 jun
妹妹 sister
三月 march
表達 expression
無線 wireless
芒 mans
吸收 absorbing
吸收 absorption
吸收 absorbed
吸收 absorb
奧地利 austria
誰 who
成人 adult
成人 adults
整合 integrated
整合 integrating
整合 integration
整合 consolidation
跑 run
威爾 will
供應 supplies
供應 supply
泛 pan
岸 shore
祖父 grandfather
江南 gangnam
江南 jiangnan
哥哥 brother
終於 finally
龜 turtle
龜 tortoise
結 knot
二月 february
二月 feb
醫生 doctor
教師 teacher
教師 teachers
不滿 discontent
不滿 disgruntled
不滿 dissatisfaction
阿里 ali
涉嫌 suspected
總理 premier
伯爵 count
親王 prince
特徵 features
特徵 characteristics
特徵 feature
特徵 characteristic
航天 spaceflight
航天 aerospace
台中 taichung
穿 wearing
穿 wear
改建 remodelling
改建 alterations
改建 alteration
傷 injured
政黨 party
相對 relative
相對 relatively
邑 eup
入口 entrance
一半 half
沙田 shatin
七月 july
路口 intersection
危機 crises
危機 crisis
指示 instruction
指示 instructions
東南 southeast
東南 southeastern
揚 jan
軍團 legion
軍團 legions
憲法 constitution
憲法 constitutions
天然 natural
打破 break
打破 breaking
駕駛 driver
駕駛 drive
駕駛 driving
恐龍 dinosaur
恐龍 dinosaurs
特性 characteristic
特性 characteristics
名人 celebrity
名人 celebrities
氧化 oxidation
氧化 oxide
腹 abdomen
戰車 chariot
戰車 chariots
笑 smile
笑 laugh
總督 governor
通訊 communications
通訊 newsletter
通訊 comm
通訊 communication
商店 shop
商店 shops
商店 store
延長 extended
延長 extension
延長 extend
裝備 equipment
裝備 gear
裝備 outfit
司馬 sima
顧問 consultant
顧問 adviser
顧問 consultants
焦 jiao
醫療 medical
古老 ancient
細胞 cell
細胞 cells
患者 patients
患者 patient
勤 diligent
劇情 drama
劇情 plot
站台 platform
斌 bin
依據 basis
抗議 protest
急 urgent
急 rush
男主角 actor
典型 typical
中間 middle
中間 intermediate
文獻 literature
理查 richard
多數 most
多數 majority
暫停 suspend
暫停 suspension
暫停 paused
暫停 pause
原型 prototype
原型 prototypes
百萬 million
百萬 millions
聲音 sound
聲音 voice
測量 measuring
測量 measurement
測量 measurements
測量 measure
測量 surveying
排行榜 leaderboard
買 buy
買 buying
近代 modern
噸 tonne
噸 tons
噸 ton
噸 tonnes
論文 essay
論文 dissertation
論文 paper
論文 thesis
論文 papers
直播 broadcast
直播 live
福特 ford
游泳 swim
游泳 swimming
發起 initiating
九月 september
九月 sept
反映 reflect
反映 reflecting
常常 frequently
常常 often
創造 creation
波音 boeing
同步 synchronize
同步 synchronization
同步 synchronous
同步 sync
經典 classics
經典 classic
教學 teaching
教學 instruction
權力 powers
權力 power
六月 june
公眾 public
工廠 plant
工廠 factories
工廠 factory
書院 college
澳大利亞 australia
暫時 temporarily
領袖 leader
軟 soft
政權 regimes
政權 regime
標誌 logo
標誌 signs
邁 mai
電話 phone
電話 call
電話 telephone
晶 jing
那麼 so
那麼 then
堆 pile
堆 heap
蘋果 apple
蘋果 apples
巴基斯坦 pakistan
戰鬥機 fighters
市長 mayor
肉 meat
臺中市 taichung
規模 scale
呎 ft
超越 beyond
超越 transcendental
大師 master
抵達 arrival
抵達 arriving
抵達 arrive
抵達 arrived
會員 member
本科 undergrad
本科 undergraduate
漢字 kanji
抵抗 resistance
任天堂 nintendo
迷 fandom
公車 bus
公車 buses
附加 attach
附加 additional
附加 append
春秋 spring
丹麥 denmark
丹麥 danish
毒 venom
毒 poison
哥倫比亞 colombia
沿海 coastal
沿海 coast
岡 oka
月刊 monthly
公式 formula
公式 formulas
公式 formulae
註冊 registered
註冊 register
註冊 registration
大衛 david
定居 settlement
定居 settled
違反 violation
違反 breach
違反 violating
非法 illegal
非法 illegally
非法 unlawful
非法 illicit
積極 active
積極 positive
積極 positivity
性質 nature
允 yoon
弱 weakness
弱 weaker
弱 weak
擴充 augmentation
擴充 augmented
沿岸 coast
衍生 derivative
天體 object
天體 objects
歌唱 sing
歌唱 singing
當局 authorities
合唱 chorus
合唱 choral
行走 walking
登陸 landing
回答 answer
強調 stress
強調 stressing
強調 emphasize
強調 emphasizing
指令 instruction
指令 directives
指令 directive
指令 instructions
封面 cover
封面 covers
准 quasi
數學 mathematical
數學 mathematics
數學 maths
數學 math
指控 allegations
指控 accusations
指控 allegation
人才 talents
人才 talent
專家 specialist
專家 experts
專家 expert
玩 play
玩 playing
相互 mutual
攝影 cinematography
攝影 photography
權利 rights
幫 gang
商場 mall
武裝 arming
武裝 armed
性格 character
性格 personality
成長 growing
成長 growth
成長 grow
最小 youngest
最小 minimum
坤 kun
坤 gon
星期六 saturday
工作室 studios
工作室 studio
朝日 asahi
印刷 print
印刷 printing
印刷 printed
電力 electricity
電力 power
起源 origin
起源 genesis
起源 origins
情報 intelligence
情報 intel
十二月 december
十二月 dec
鈴木 suzuki
南昌 nanchang
賣 sell
賣 sold
賣 selling
體重 weight
救援 rescue
虹 hong
大多數 most
磅 kampong
磅 lbs
磅 pound
磅 pounds
高原 highland
高原 plateau
高原 plateaux
青少年 youth
青少年 teen
青少年 adolescents
青少年 teenagers
青少年 adolescent
流浪 wandering
流浪 stray
授權 authorize
授權 authorisation
授權 authorized
授權 authorization
策略 tactics
策略 tactic
鷹 eagle
鷹 hawk
鷹 eagles
最好 best
探測 probe
探測 detection
探測 probing
鋼 steel
蓬 pont
開幕 opening
籃球 basketball
文庫 bunko
領土 territories
領土 territorial
領土 territory
替代 replace
替代 substitution
替代 substitute
替代 replacement
青山 aoyama
華盛頓 washington
型號 models
型號 model
天空 sky
天空 sora
天空 skies
手機 phone
燃料 fuel
青春 youth
青春 youthful
投手 pitchers
投手 pitcher
投手 pitching
黑暗 dark
黑暗 darkness
競爭 compete
競爭 rivalry
競爭 competitive
競爭 competition
運行 running
運行 run
拼音 pinyin
內閣 cabinet
尋找 looking
尋找 find
智利 chile
繁 shigeru
證實 confirmation
證實 confirm
壓力 pressure
壓力 stress
豆 bean
豆 beans
形容 describe
鄰 neighbors
校園 campus
校園 campuses
平衡 balanced
平衡 balance
平衡 balancing
平衡 equilibrium
動力 motivation
動力 power
候選人 candidates
候選人 candidate
值得 worthy
學園 gakuen
跳 jump
密度 intensity
密度 density
成果 outcome
成果 results
對應 corresponding
對應 corresponds
對應 correspond
標題 header
標題 title
標題 caption
標題 titles
標題 headings
侵犯 infringement
偏 bias
巴赫 bach
想法 ideas
想法 thoughts
一生 lifetime
戀愛 koi
戀愛 love
戀愛 relationship
亞歷山大 alexandria
亞歷山大 alexander
傳播 diffusion
傳播 spreading
傳播 propagation
傳播 spread
維多利亞 victoria
等級 level
等級 hierarchy
等級 grade
等級 grades
英尺 feet
英尺 foot
英尺 ft
禾 wo
市政府 municipalities
興趣 interests
興趣 interested
興趣 interest
允許 allowed
允許 permitted
允許 allow
允許 permission
理念 concept
理念 philosophy
理念 concepts
靠近 near
桃園 taoyuan
鼻 nose
怪 weird
怪 odd
對抗 confrontation
對抗 confrontations
差異 variances
差異 differences
差異 discrepancies
差異 variance
差異 difference
路易斯 louis
員工 employee
員工 employees
格林 green
綠色 green
車隊 fleet
車隊 convoy
車隊 motorcade
單元 modules
單元 module
單元 units
單元 unit
英吋 inch
英吋 inches
拓 takuya
拓 taku
神秘 mystery
神秘 mysterious
槽 slot
槽 slots
槽 groove
槽 trough
尊重 respect
溫度 temperature
溫度 temp
溫度 temperatures
基督 christ
琉球 ryukyu
琉球 okinawa
砲 cannon
星光 starlight
阿富汗 afghanistan
頒獎 awards
真實 real
真實 true
援助 aid
援助 assistance
蜀 shu
意識 consciousness
穆斯林 muslim
穆斯林 muslims
每週 weekly
苗 miao
苗 seedlings
主流 mainstream
觀點 perspectives
中國國民黨 kuomintang
色彩 color
色彩 colours
色彩 colour
色彩 colors
加強 strengthening
加強 enhancements
加強 strengthen
加強 reinforcement
加強 enhancement
加強 enhanced
威脅 threats
威脅 threat
襲擊 attacks
襲擊 attack
撤退 retreat
冒險 adventurous
冒險 adventure
冒險 adventures
懷 huai
辦公室 office
公告 announcement
公告 proclamation
山東 shandong
立法院 legislature
儀式 ceremony
儀式 rite
儀式 ritual
成熟 maturity
成熟 ripe
成熟 mature
容量 capacity
證據 proof
證據 evidence
廢除 repealed
廢除 repeal
廢除 abolition
廢除 abolishment
馬克 mark
基本上 basically
發明 invention
發明 invent
發明 invented
發明 inventions
公社 commune
公社 communes
旭 asahi
傳奇 legend
傳奇 legendary
傳奇 legends
苦 bitter
苦 bitterness
平民 civilians
市政 municipal
岩石 rocks
岩石 rock
觀察 observe
觀察 observation
碟 disc
碟 disk
原文 original
好友 friends
好友 friend
殖民 colonial
殖民 colonize
殖民 colonized
殖民 colonization
序列 sequence
支付 pay
支付 payment
支付 payments
被捕 arrest
被捕 arrested
道德 moral
道德 morals
道德 morality
分割 split
史密斯 smith
福利 benefits
福利 welfare
指導 guidance
指導 mentoring
豹 pao
豹 leopard
豹 panther
翻 flip
大同 pax
查理 charlie
慈善 charitable
慈善 philanthropy
慈善 charity
星期日 sundays
星期日 sunday
網球 tennis
建築物 building
建築物 buildings
河口 bayou
河口 estuary
古巴 cuba
姊妹 sisters
姊妹 sister
哲學 philosophy
方程 equation
方程 equations
味 flavour
合法 legit
合法 lawful
完善 refinement
完善 perfecting
完善 perfection
地形 topography
地形 terrain
地形 topographic
裴 bae
裴 pei
藍色 blue
維修 repair
維修 maintenance
維修 repairs
詳細 detailed
詳細 detail
兔 hare
兔 rabbit
經由 via
書店 bookstore
書店 bookshop
書店 bookstores
接觸 contact
懷疑 doubt
懷疑 suspicion
量子 quantum
掌握 mastery
掌握 mastering
流量 flow
推薦 suggested
推薦 recommend
推薦 recommended
吉他 guitar
吉他 guitars
淺 shallow
矛盾 contradictory
矛盾 paradox
矛盾 contradictions
矛盾 contradiction
激烈 fierce
激烈 intense
方程式 formula
方程式 equation
方程式 equations
課 lesson
膜 membrane
演化 evolve
演化 evolution
演化 evolutionary
演化 evolving
雙打 doubles
鏈 chains
鏈 chain
神社 shrine
神社 jinja
磁 magnetic
磁 magnetism
迷你 mini
迷你 miniature
殷 yin
美麗 beautiful
鄰近 neighbouring
鄰近 adjacent
鄰近 nearby
構造 construct
十一月 november
十一月 nov
射擊 shooting
滑 slide
滑 slippery
滑 slip
融合 integration
融合 fusion
姓名 name
姓名 names
跑道 runway
原理 principle
原理 doctrine
條例 regulations
條例 ordinance
條例 regulation
主管 supervisor
補充 complement
補充 supplement
補充 supplemental
責任 liability
責任 responsibilities
責任 responsibility
得分 score
大眾 volkswagen
逸 yat
彗星 comet
彗星 comets
山坡 hillside
山坡 slopes
敵人 enemy
箭 arrows
箭 arrow
受歡迎 popular
櫻 sakura
警報 alert
兩次 twice
胺 amine
餐廳 restaurants
餐廳 restaurant
簽署 signing
簽署 signed
簽署 signature
